Book-Title,Book-Author,Publisher,Image-URL-M
The Kitchen God's Wife,Amy Tan,Putnam Pub Group,http://images.amazon.com/images/P/0399135782.01.MZZZZZZZ.jpg
The Testament,John Grisham,Dell,http://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg
Beloved (Plume Contemporary Fiction),Toni Morrison,Plume,http://images.amazon.com/images/P/0452264464.01.MZZZZZZZ.jpg
Wild Animus,Rich Shapero,Too Far,http://images.amazon.com/images/P/0971880107.01.MZZZZZZZ.jpg
Airframe,Michael Crichton,Ballantine Books,http://images.amazon.com/images/P/0345402871.01.MZZZZZZZ.jpg
Timeline,MICHAEL CRICHTON,Ballantine Books,http://images.amazon.com/images/P/0345417623.01.MZZZZZZZ.jpg
To Kill a Mockingbird,Harper Lee,Little Brown &amp; Company,http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg
Seabiscuit: An American Legend,LAURA HILLENBRAND,Ballantine Books,http://images.amazon.com/images/P/0449005615.01.MZZZZZZZ.jpg
Pigs in Heaven,Barbara Kingsolver,Harpercollins,http://images.amazon.com/images/P/0060168013.01.MZZZZZZZ.jpg
Pride and Prejudice,Jane Austen,Bantam,http://images.amazon.com/images/P/055321215X.01.MZZZZZZZ.jpg
Icebound,Dean R. Koontz,Bantam Books,http://images.amazon.com/images/P/0553582909.01.MZZZZZZZ.jpg
I'll Be Seeing You,Mary Higgins Clark,Pocket,http://images.amazon.com/images/P/0671888587.01.MZZZZZZZ.jpg
From the Corner of His Eye,Dean Koontz,Bantam Books,http://images.amazon.com/images/P/0553582747.01.MZZZZZZZ.jpg
Isle of Dogs,Patricia Cornwell,Berkley Publishing Group,http://images.amazon.com/images/P/0425182908.01.MZZZZZZZ.jpg
Purity in Death,J.D. Robb,Berkley Publishing Group,http://images.amazon.com/images/P/042518630X.01.MZZZZZZZ.jpg
The Street Lawyer,JOHN GRISHAM,Dell,http://images.amazon.com/images/P/0440225701.01.MZZZZZZZ.jpg
Breathing Lessons,Anne Tyler,Berkley Publishing Group,http://images.amazon.com/images/P/042511774X.01.MZZZZZZZ.jpg
The Joy Luck Club,Amy Tan,Prentice Hall (K-12),http://images.amazon.com/images/P/0804106304.01.MZZZZZZZ.jpg
The Tao of Pooh,Benjamin Hoff,Penguin Books,http://images.amazon.com/images/P/0140067477.01.MZZZZZZZ.jpg
Seabiscuit,LAURA HILLENBRAND,Ballantine Books,http://images.amazon.com/images/P/0345465083.01.MZZZZZZZ.jpg
The Catcher in the Rye,J.D. Salinger,"Little, Brown",http://images.amazon.com/images/P/0316769487.01.MZZZZZZZ.jpg
Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,Random House,http://images.amazon.com/images/P/0679429220.01.MZZZZZZZ.jpg
Pretend You Don't See Her,Mary Higgins Clark,Pocket,http://images.amazon.com/images/P/0671867156.01.MZZZZZZZ.jpg
Fast Women,Jennifer Crusie,St. Martin's Press,http://images.amazon.com/images/P/0312252617.01.MZZZZZZZ.jpg
The Pillars of the Earth,Ken Follett,Signet Book,http://images.amazon.com/images/P/0451166892.01.MZZZZZZZ.jpg
The Five People You Meet in Heaven,Mitch Albom,Hyperion,http://images.amazon.com/images/P/0786868716.01.MZZZZZZZ.jpg
The Alibi,Sandra Brown,Warner Books,http://images.amazon.com/images/P/0446608653.01.MZZZZZZZ.jpg
The Beach House,James Patterson,Warner Books,http://images.amazon.com/images/P/0446612545.01.MZZZZZZZ.jpg
Angels &amp; Demons,Dan Brown,Pocket Star,http://images.amazon.com/images/P/0671027360.01.MZZZZZZZ.jpg
The Girl Who Loved Tom Gordon,Stephen King,Pocket,http://images.amazon.com/images/P/0671042858.01.MZZZZZZZ.jpg
Little Altars Everywhere: A Novel,Rebecca Wells,Perennial,http://images.amazon.com/images/P/0060976845.01.MZZZZZZZ.jpg
Before I Say Good-Bye,Mary Higgins Clark,Pocket,http://images.amazon.com/images/P/0671004573.01.MZZZZZZZ.jpg
Slow Waltz in Cedar Bend,Robert James Waller,Warner Books,http://images.amazon.com/images/P/0446601640.01.MZZZZZZZ.jpg
Atonement : A Novel,IAN MCEWAN,Anchor,http://images.amazon.com/images/P/038572179X.01.MZZZZZZZ.jpg
Rebecca,Daphne Du Maurier,Avon,http://images.amazon.com/images/P/0380778556.01.MZZZZZZZ.jpg
Contact,Susan Grant,Love Spell,http://images.amazon.com/images/P/0505524996.01.MZZZZZZZ.jpg
Wish You Well,David Baldacci,Warner Books,http://images.amazon.com/images/P/0446527165.01.MZZZZZZZ.jpg
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Pocket,http://images.amazon.com/images/P/0671461494.01.MZZZZZZZ.jpg
Bridget Jones's Diary,Helen Fielding,Picador (UK),http://images.amazon.com/images/P/0330332775.01.MZZZZZZZ.jpg
